Month,family,sales
2013-01,AUTOMOTIVE,68.0
2013-01,BABY CARE,0.0
2013-01,BEAUTY,45.0
2013-01,BEVERAGES,28777.0
2013-01,BOOKS,0.0
2013-01,BREAD/BAKERY,8559.680975
2013-01,CELEBRATION,0.0
2013-01,CLEANING,20388.0
2013-01,DAIRY,11789.0
2013-01,DELI,3425.1820000000002
2013-01,EGGS,4573.0
2013-01,FROZEN FOODS,2107.091
2013-01,GROCERY I,53397.0
2013-01,GROCERY II,739.0
2013-01,HARDWARE,55.0
2013-01,HOME AND KITCHEN I,0.0
2013-01,HOME AND KITCHEN II,0.0
2013-01,HOME APPLIANCES,2.0
2013-01,HOME CARE,0.0
2013-01,LADIESWEAR,0.0
2013-01,LAWN AND GARDEN,147.0
2013-01,LINGERIE,374.0
2013-01,"LIQUOR,WINE,BEER",2603.0
2013-01,MAGAZINES,0.0
2013-01,MEATS,9126.79798
2013-01,PERSONAL CARE,3070.0
2013-01,PET SUPPLIES,0.0
2013-01,PLAYERS AND ELECTRONICS,0.0
2013-01,POULTRY,5170.815044
2013-01,PREPARED FOODS,1704.0
2013-01,PRODUCE,0.0
2013-01,SCHOOL AND OFFICE SUPPLIES,0.0
2013-01,SEAFOOD,743.6320055
2013-02,AUTOMOTIVE,38.0
2013-02,BABY CARE,0.0
2013-02,BEAUTY,46.0
2013-02,BEVERAGES,21322.0
2013-02,BOOKS,0.0
2013-02,BREAD/BAKERY,7296.43501
2013-02,CELEBRATION,0.0
2013-02,CLEANING,16373.0
2013-02,DAIRY,10572.0
2013-02,DELI,2819.016004
2013-02,EGGS,3886.0
2013-02,FROZEN FOODS,1913.742
2013-02,GROCERY I,45447.0
2013-02,GROCERY II,584.0
2013-02,HARDWARE,62.0
2013-02,HOME AND KITCHEN I,0.0
2013-02,HOME AND KITCHEN II,0.0
2013-02,HOME APPLIANCES,0.0
2013-02,HOME CARE,0.0
2013-02,LADIESWEAR,0.0
2013-02,LAWN AND GARDEN,98.0
2013-02,LINGERIE,223.0
2013-02,"LIQUOR,WINE,BEER",2124.0
2013-02,MAGAZINES,0.0
